"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"USAA Joint Visa","","08/23/2018","TILLY  SALVYS  BACON     NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$5.99,$0.00,"Cleared"
"USAA Checking","","08/23/2018","BOSE CORPORATION PAYROLL    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1597.54,"Cleared"
"USAA Checking","","08/22/2018","Transfer : USAA Joint Visa","","","","",$1161.62,$0.00,"Cleared"
"USAA Checking","","08/22/2018","USAA Insurance Payment","Immediate Obligations: Home/Auto/Umbrella Insurance","Immediate Obligations","Home/Auto/Umbrella Insurance","",$274.99,$0.00,"Cleared"
"USAA Checking","","08/22/2018","PAYPAL           INST XFER  ****","Immediate Obligations: Phone Bill","Immediate Obligations","Phone Bill","",$60.00,$0.00,"Cleared"
"USAA Joint Visa","","08/22/2018","Amazon.com               Amzn.co","True Expenses: Home Maintenance","True Expenses","Home Maintenance","roundup",$38.18,$0.00,"Cleared"
"USAA Joint Visa","","08/22/2018","Netflix.com              netflix","Immediate Obligations: Internet and Streaming TV","Immediate Obligations","Internet and Streaming TV","",$10.99,$0.00,"Cleared"
"USAA Joint Visa","","08/22/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$4.08,$0.00,"Cleared"
"USAA Joint Visa","","08/22/2018","PASSPORT PARKING         passpor","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$3.50,$0.00,"Cleared"
"USAA Joint Visa","","08/22/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$2.75,$0.00,"Cleared"
"USAA Joint Visa","","08/22/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.74,$0.00,"Cleared"
"USAA Joint Visa","","08/22/2018","Transfer : USAA Checking","","","","",$0.00,$1161.62,"Cleared"
"USAA Joint Visa","","08/21/2018","WAYFAIR*Wayfair          wayfair","Extras: Disposable Income","Extras","Disposable Income","outdoor stools",$554.59,$0.00,"Cleared"
"USAA Checking","","08/21/2018","Wealthfront Inc. EDI PYMNTS ****","Archive: Roth IRAs","Archive","Roth IRAs","",$458.33,$0.00,"Cleared"
"USAA Checking","","08/21/2018","Wealthfront Inc. EDI PYMNTS ****","Archive: Roth IRAs","Archive","Roth IRAs","",$458.33,$0.00,"Cleared"
"USAA Joint Visa","","08/21/2018","AMZN MKTP US AMZN.COM/BILAMZN.CO","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","CJ gear (pacis, pump stuff, sheets)",$48.44,$0.00,"Cleared"
"USAA Joint Visa","","08/21/2018","THE COMMON CAFE AND KITCHNATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$11.34,$0.00,"Cleared"
"USAA Joint Visa","","08/21/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.75,$0.00,"Cleared"
"USAA Checking","","08/20/2018","CHECK # 0000001431","True Expenses: Philanthropy","True Expenses","Philanthropy","#1431 astadke",$250.00,$0.00,"Cleared"
"USAA Joint Visa","","08/20/2018","PAYPAL *FRGTEAMFANS      402-935","Extras: Disposable Income","Extras","Disposable Income","browns gear",$104.98,$0.00,"Cleared"
"USAA Joint Visa","","08/20/2018","AMZ*PeachDish LLC        404-939","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$50.00,$0.00,"Cleared"
"USAA Joint Visa","","08/20/2018","TOTAL WINE AND MORE 1701 NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$13.78,$0.00,"Cleared"
"USAA Joint Visa","","08/20/2018","DUNKIN #336720 Q35       NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$4.78,$0.00,"Cleared"
"USAA Joint Visa","","08/19/2018","WEGMANS.COM NATICK 132   585-464","Archive: CJ's Baptism","Archive","CJ's Baptism","",$403.75,$0.00,"Cleared"
"USAA Joint Visa","","08/19/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$88.46,$0.00,"Cleared"
"USAA Joint Visa","","08/19/2018","GRUBHUBMINGALIENSTRAT    GRUBHUB","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$46.89,$0.00,"Cleared"
"USAA Joint Visa","","08/19/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$18.99,$0.00,"Cleared"
"USAA Joint Visa","","08/19/2018","PAYPAL *MODDIY COM       402-935","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","usb c plugs",$13.89,$0.00,"Cleared"
"USAA Joint Visa","","08/19/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$13.06,$0.00,"Cleared"
"USAA Joint Visa","","08/18/2018","WELCOME INDIAN CUISINE   FRAMING","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$53.79,$0.00,"Cleared"
"USAA Joint Visa","","08/17/2018","DTV*NFLSUNDAYTICKET.TV   855-229","Extras: Disposable Income","Extras","Disposable Income","",$99.96,$0.00,"Cleared"
"USAA Joint Visa","","08/17/2018","TMOBILE*AUTO PAY         800-937","Immediate Obligations: Phone Bill","Immediate Obligations","Phone Bill","",$66.42,$0.00,"Cleared"
"DCFSA","","08/17/2018","Payroll Deduction","Immediate Obligations: Child Care","Immediate Obligations","Child Care","",$0.00,$357.14,"Cleared"
"USAA Checking","","08/16/2018","Transfer : USAA Joint Visa","","","","",$1061.28,$0.00,"Cleared"
"USAA Checking","","08/16/2018","Town of Natick   WATERSEWER ****","Immediate Obligations: Water","Immediate Obligations","Water","",$163.13,$0.00,"Cleared"
"USAA Joint Visa","","08/16/2018","LU LU'S ALLSTON          ALLSTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$70.62,$0.00,"Cleared"
"USAA Joint Visa","","08/16/2018","Stockyard                Brighto","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$22.99,$0.00,"Cleared"
"USAA Joint Visa","","08/16/2018","PANERA BREAD #203437 K   NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$11.84,$0.00,"Cleared"
"USAA Joint Visa","","08/16/2018","AMZN MKTP US AMZN.COM/BILAMZN.CO","True Expenses: Home Maintenance","True Expenses","Home Maintenance","hinge door stop",$8.49,$0.00,"Cleared"
"USAA Joint Visa","","08/16/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$5.07,$0.00,"Cleared"
"USAA Joint Visa","","08/16/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$3.88,$0.00,"Cleared"
"USAA Checking","","08/16/2018","PAYPAL           TRANSFER   ****","Extras: Reimburseables","Extras","Reimburseables","",$0.00,$282.98,"Cleared"
"USAA Checking","","08/16/2018","HARVARD UNIVERSI DIR DEP    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1055.75,"Cleared"
"USAA Joint Visa","","08/16/2018","Transfer : USAA Checking","","","","",$0.00,$1061.28,"Cleared"
"USAA Checking","","08/16/2018","BOSE CORPORATION PAYROLL    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1597.54,"Cleared"
"USAA Joint Visa","","08/15/2018","ZAFTIGS WEST             NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$49.41,$0.00,"Cleared"
"USAA Joint Visa","","08/15/2018","TST*PAPAGINOS 3505 NATICKNATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$16.55,$0.00,"Cleared"
"USAA Joint Visa","","08/15/2018","AMZ*WASHPOST             help@wa","True Expenses: News","True Expenses","News","",$3.99,$0.00,"Cleared"
"USAA Joint Visa","","08/14/2018","WAYFAIR*Wayfair          wayfair","Extras: Reimburseables","Extras","Reimburseables","",$282.98,$0.00,"Cleared"
"USAA Checking","","08/14/2018","VENMO            PAYMENT    ****","Archive: Brian and Ellen's Wedding!","Archive","Brian and Ellen's Wedding!","",$253.50,$0.00,"Cleared"
"USAA Joint Visa","","08/14/2018","LUCKY BRAND #42561       NATICK","True Expenses: Clothing","True Expenses","Clothing","clothes for Em",$178.50,$0.00,"Cleared"
"USAA Checking","","08/14/2018","CAPITAL ONE      Online Pmt ****","Immediate Obligations: Furniture Payments","Immediate Obligations","Furniture Payments","",$114.00,$0.00,"Cleared"
"USAA Joint Visa","","08/14/2018","H&M0408                  NAT","True Expenses: Clothing","True Expenses","Clothing","clothes for Em",$52.97,$0.00,"Cleared"
"USAA Checking","","08/14/2018","CHECK # 0000001433","True Expenses: Home Maintenance","True Expenses","Home Maintenance","lucky mowing",$40.00,$0.00,"Cleared"
"USAA Joint Visa","","08/14/2018","GULF OIL 92038875        NATICK","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$21.01,$0.00,"Cleared"
"USAA Checking","","08/14/2018","VENMO            PAYMENT    ****","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$9.00,$0.00,"Cleared"
"USAA Joint Visa","","08/14/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$4.03,$0.00,"Cleared"
"USAA Joint Visa","","08/14/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$2.55,$0.00,"Cleared"
"USAA Joint Visa","","08/13/2018","AMZ*PeachDish LLC        404-939","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$50.00,$0.00,"Cleared"
"USAA Checking","","08/13/2018","CITIZENS BANK34 MAIN STRENATICK","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","haircut cash",$23.50,$0.00,"Cleared"
"USAA Joint Visa","","08/13/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$11.18,$0.00,"Cleared"
"USAA Joint Visa","","08/13/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.99,$0.00,"Cleared"
"USAA Joint Visa","","08/13/2018","GOOGLE *Google Storage   855-836","Archive: Drive Storage","Archive","Drive Storage","",$1.99,$0.00,"Cleared"
"USAA Joint Visa","","08/12/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$53.86,$0.00,"Cleared"
"USAA Joint Visa","","08/12/2018","GOOGLE *YouTube TV       855-836","Immediate Obligations: Internet and Streaming TV","Immediate Obligations","Internet and Streaming TV","",$35.00,$0.00,"Cleared"
"USAA Joint Visa","","08/12/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$17.21,$0.00,"Cleared"
"USAA Joint Visa","","08/12/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$12.28,$0.00,"Cleared"
"USAA Checking","","08/11/2018","Transfer : USAA Joint Visa","","","","",$1063.77,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","ANC*ANCESTRY.COM         800-262","True Expenses: Annual Expenses","True Expenses","Annual Expenses","",$189.00,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","GRUBHUBRICETHEORYTHAI    GRUBHUB","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$45.05,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","NEW YORK TIMES DIGITAL   800-698","True Expenses: News","True Expenses","News","",$25.00,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$16.49,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","THE COMMON CAFE AND KITCHNATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$16.05,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","NATICK CLEANERS          NATICK","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","",$15.90,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","THE COMMON CAFE AND KITCHNATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$11.77,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","U-HAUL OF NATICK         NATICK","Archive: Trailer Hitch","Archive","Trailer Hitch","",$6.50,$0.00,"Cleared"
"USAA Joint Visa","","08/11/2018","Transfer : USAA Checking","","","","",$0.00,$1063.77,"Cleared"
"USAA Joint Visa","","08/10/2018","KIMCHIPAPI KITCHEN       ALLSTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$25.68,$0.00,"Cleared"
"USAA Joint Visa","","08/10/2018","AMZN MKTP US AMZN.COM/BILAMZN.CO","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","umbrella",$20.95,$0.00,"Cleared"
"USAA Joint Visa","","08/09/2018","AAA MSHIP AUTORENEW NY   401-868","True Expenses: Annual Expenses","True Expenses","Annual Expenses","",$82.00,$0.00,"Cleared"
"USAA Joint Visa","","08/09/2018","PAPERLESS POST           HTTPSWW","Extras: Disposable Income","Extras","Disposable Income","baptism invites",$15.00,$0.00,"Cleared"
"USAA Joint Visa","","08/09/2018","AMZN MKTP US AMZN.COM/BILAMZN.CO","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","lunchbox",$14.99,$0.00,"Cleared"
"USAA Checking","","08/09/2018","DEPOSIT@MOBILE","True Expenses: Gifts","True Expenses","Gifts","anniversary gift from parents to help pay for our dinner",$0.00,$100.00,"Cleared"
"USAA Checking","","08/09/2018","BOSE CORPORATION PAYROLL    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","commuter bonus",$0.00,$1000.00,"Cleared"
"USAA Checking","","08/09/2018","BOSE CORPORATION PAYROLL    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1598.54,"Cleared"
"USAA Joint Visa","","08/08/2018","TST* BUTTERCUP           NATICK","True Expenses: Gifts","True Expenses","Gifts","anniversary dinner",$192.64,$0.00,"Cleared"
"USAA Joint Visa","","08/08/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$3.74,$0.00,"Cleared"
"USAA Joint Visa","","08/08/2018","MARKET@WORK 2067379149   RENTON","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.99,$0.00,"Cleared"
"USAA Joint Visa","","08/08/2018","MEXICALI GRILL - OFFER REBATE","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$0.00,$2.30,"Cleared"
"USAA Joint Visa","","08/07/2018","THE COMMON CAFE AND KITCHNATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.96,$0.00,"Cleared"
"USAA Joint Visa","","08/07/2018","PASSPORT PARKING         passpor","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$2.50,$0.00,"Cleared"
"USAA Joint Visa","","08/07/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$2.35,$0.00,"Cleared"
"USAA Checking","","08/07/2018","Cash Rewards Credit","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$101.17,"Cleared"
"USAA Checking","","08/06/2018","TOWN OF NATICK   TAX        ****","True Expenses: Taxes","True Expenses","Taxes","mazda excise",$406.15,$0.00,"Cleared"
"USAA Joint Visa","","08/06/2018","AMZ*PeachDish LLC        404-939","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$50.00,$0.00,"Cleared"
"USAA Joint Visa","","08/06/2018","SQ *KOHI COFFEE COMPANY  Boston","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$4.98,$0.00,"Cleared"
"USAA Joint Visa","","08/06/2018","PANERA BREAD #203437 K   NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$2.45,$0.00,"Cleared"
"USAA Joint Visa","","08/05/2018","AMAZON.COM AMZN.COM/BILL AMZN.CO","True Expenses: Home Maintenance","True Expenses","Home Maintenance","grass seed and soil test",$66.27,$0.00,"Cleared"
"USAA Joint Visa","","08/05/2018","Amazon.com               Amzn.co","True Expenses: Home Maintenance","True Expenses","Home Maintenance","crab grass killer",$57.27,$0.00,"Cleared"
"USAA Joint Visa","","08/05/2018","MEXICALI GRILL           NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$46.04,$0.00,"Cleared"
"USAA Joint Visa","","08/05/2018","MONNICK SUPPLY CO.       FRAMING","True Expenses: Home Maintenance","True Expenses","Home Maintenance","propane",$33.98,$0.00,"Cleared"
"USAA Joint Visa","","08/05/2018","SPEEDWAY 02471           NATICK","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$30.77,$0.00,"Cleared"
"USAA Joint Visa","","08/04/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$92.79,$0.00,"Cleared"
"USAA Joint Visa","","08/04/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$18.92,$0.00,"Cleared"
"USAA Joint Visa","","08/04/2018","WEGMANS BURGER BAR #1321 NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$12.84,$0.00,"Cleared"
"USAA Checking","","08/03/2018","Transfer : USAA Joint Visa","","","","",$718.72,$0.00,"Cleared"
"USAA Joint Visa","","08/03/2018","BJS WHOLESALE #0047      FRAMING","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$172.68,$0.00,"Cleared"
"USAA Joint Visa","","08/03/2018","GRUBHUBMINGALIENSTRAT    GRUBHUB","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$54.54,$0.00,"Cleared"
"USAA Joint Visa","","08/03/2018","TARGET        00013086   FRAMING","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","storage stuff plus phone charger block",$32.66,$0.00,"Cleared"
"USAA Joint Visa","","08/03/2018","BED BATH & BEYOND #109   FRA","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","storage stuff",$4.59,$0.00,"Cleared"
"DCFSA","","08/03/2018","Payroll Deduction","Immediate Obligations: Child Care","Immediate Obligations","Child Care","",$0.00,$357.14,"Cleared"
"USAA Joint Visa","","08/03/2018","Transfer : USAA Checking","","","","",$0.00,$718.72,"Cleared"
"USAA Joint Visa","","08/02/2018","TST* BOURBON?S KITCHEN & FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$168.17,$0.00,"Cleared"
"USAA Joint Visa","","08/02/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.54,$0.00,"Cleared"
"USAA Joint Visa","","08/02/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$4.95,$0.00,"Cleared"
"USAA Checking","","08/02/2018","BOSE CORPORATION EXPENSE    ****","Extras: Disposable Income","Extras","Disposable Income","reimb for commuter",$0.00,$253.00,"Cleared"
"USAA Checking","","08/02/2018","HARVARD UNIVERSI DIR DEP    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1161.82,"Cleared"
"USAA Checking","","08/02/2018","BOSE CORPORATION PAYROLL    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1598.55,"Cleared"
"USAA Checking","","08/01/2018","JPMORGAN CHASE   CHASE ACH  ****","Immediate Obligations: Mortgage","Immediate Obligations","Mortgage","",$3145.52,$0.00,"Cleared"
"USAA Joint Visa","","08/01/2018","AMAZON.COM AMZN.COM/BILL AMZN.CO","True Expenses: Home Maintenance","True Expenses","Home Maintenance","brackets for railing",$26.55,$0.00,"Cleared"
"USAA Joint Visa","","08/01/2018","PATREON* MEMBERSHIP      HTTPSWW","True Expenses: News","True Expenses","News","",$5.00,$0.00,"Cleared"
"USAA Checking","","08/01/2018","GOOGLE           Pay        ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$400.00,"Cleared"
"USAA Checking","","07/31/2018","Transfer : USAA Joint Visa","","","","",$1510.12,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","MBTA MTICKET             617-222","Extras: Reimburseables","Extras","Reimburseables","",$253.00,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","RCN*CABLE PHONE INTERN   800-RIN","Immediate Obligations: Internet and Streaming TV","Immediate Obligations","Internet and Streaming TV","",$41.96,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","AMZN MKTP US AMZN.COM/BILAMZN.CO","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","diapers",$29.90,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","Amazon.com               AMZN.CO","True Expenses: Clothing","True Expenses","Clothing","Browns onesies",$26.09,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","AMZN Mktp US             Amzn.co","Extras: Disposable Income","Extras","Disposable Income","bath mat",$12.99,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$7.00,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.95,$0.00,"Cleared"
"USAA Joint Visa","","07/31/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.30,$0.00,"Cleared"
"HSA","","07/31/2018","Interest Paid","True Expenses: Health/Medical (HSA-qualified)","True Expenses","Health/Medical (HSA-qualified)","",$0.00,$0.21,"Reconciled"
"USAA Savings","","07/31/2018","Interest Paid","True Expenses: Buffer Fund","True Expenses","Buffer Fund","",$0.00,$1.28,"Cleared"
"USAA Checking","","07/31/2018","VENMO            CASHOUT    ****","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","wolfe's tavern reimb",$0.00,$110.80,"Cleared"
"USAA Joint Visa","","07/31/2018","Transfer : USAA Checking","","","","",$0.00,$1510.12,"Cleared"
"USAA Joint Visa","","07/30/2018","WELCOME INDIAN CUISINE   FRAMING","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$67.35,$0.00,"Cleared"
"USAA Joint Visa","","07/30/2018","AMZ*PeachDish LLC        404-939","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$50.00,$0.00,"Cleared"
"USAA Joint Visa","","07/30/2018","THE HOME DEPOT #2669     NATICK","True Expenses: Home Maintenance","True Expenses","Home Maintenance","weed spray",$42.44,$0.00,"Cleared"
"USAA Joint Visa","","07/30/2018","AMAZON.COM AMZN.COM/BILL AMZN.CO","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","metamucil",$27.03,$0.00,"Cleared"
"USAA Joint Visa","","07/30/2018","BOSE R & D CEN26079418   FRA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.19,$0.00,"Cleared"
"USAA Joint Visa","","07/29/2018","AMAZON.COM AMZN.COM/BILL AMZN.CO","Extras: Disposable Income","Extras","Disposable Income","Em's computer",$477.06,$0.00,"Cleared"
"USAA Joint Visa","","07/29/2018","EXXONMOBIL    97532113   SANBORN","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$14.09,$0.00,"Cleared"
"USAA Joint Visa","","07/29/2018","EXXONMOBIL    97532113   SANBORN","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","road snacks",$10.06,$0.00,"Cleared"
"USAA Joint Visa","","07/28/2018","HARVERST MARKET WOL      WOLFEBO","Extras: Disposable Income","Extras","Disposable Income","lake trip",$55.57,$0.00,"Cleared"
"USAA Joint Visa","","07/28/2018","Spotify USA              646-837","True Expenses: Streaming Music","True Expenses","Streaming Music","",$14.99,$0.00,"Cleared"
"USAA Joint Visa","","07/28/2018","PANDORA*INTERNET RADIO   PDORA.C","True Expenses: Streaming Music","True Expenses","Streaming Music","",$4.99,$0.00,"Cleared"
"USAA Joint Visa","","07/28/2018","GOOGLE *Google Storage   855-836","Archive: Drive Storage","Archive","Drive Storage","",$1.99,$0.00,"Cleared"
"USAA Checking","","07/27/2018","EVERSOURCE       WEB_PAY    ****","Immediate Obligations: Electric","Immediate Obligations","Electric","",$277.28,$0.00,"Cleared"
"USAA Joint Visa","","07/27/2018","HUNTER'S SHOP 'N SA      WOLFEBO","Extras: Disposable Income","Extras","Disposable Income","lake trip",$31.79,$0.00,"Cleared"
"USAA Checking","","07/27/2018","EVERSOURCE       WEB_PAY    ****","Immediate Obligations: Gas","Immediate Obligations","Gas","",$18.52,$0.00,"Cleared"
"USAA Joint Visa","","07/27/2018","AMAZON DIGITAL SVCS 888-8888-802","Immediate Obligations: Internet and Streaming TV","Immediate Obligations","Internet and Streaming TV","HBO",$14.99,$0.00,"Cleared"
"USAA Joint Visa","","07/27/2018","DUNKIN #307849 Q35       WOLFEBO","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$8.47,$0.00,"Cleared"
"USAA Checking","","07/27/2018","Interest Paid","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$0.28,"Cleared"
"USAA Checking","","07/26/2018","CHECK # 0000001430","True Expenses: Gifts","True Expenses","Gifts","Cole and Julia Wedding gift",$250.00,$0.00,"Cleared"
"USAA Joint Visa","","07/26/2018","WOLFE`S TAVERN           WOLFEBO","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$218.30,$0.00,"Cleared"
"USAA Joint Visa","","07/26/2018","WEGMANS NATICK #132      NATICK","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$48.27,$0.00,"Cleared"
"USAA Joint Visa","","07/26/2018","EXXONMOBIL    97445175   HAVERHI","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$28.00,$0.00,"Cleared"
"USAA Joint Visa","","07/26/2018","HOLA MEXICAN RESTAURANT  740-341","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$24.30,$0.00,"Cleared"
"USAA Joint Visa","","07/26/2018","DUNKIN #308878 Q35       HAVERHI","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.29,$0.00,"Cleared"
"USAA Checking","","07/26/2018","BOSE CORPORATION PAYROLL    ****","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1598.54,"Cleared"
"USAA Joint Visa","","07/25/2018","AMAZON MKTPLACE PMTS WWW.WWW.AMA","Extras: Disposable Income","Extras","Disposable Income","patio lights box",$79.99,$0.00,"Cleared"
"USAA Joint Visa","","07/25/2018","AMAZON MKTPLACE PMTS WWW.WWW.AMA","True Expenses: Home Maintenance","True Expenses","Home Maintenance","mower starter",$52.47,$0.00,"Cleared"
"USAA Joint Visa","","07/25/2018","HARVARD PARKING          617-495","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$18.00,$0.00,"Cleared"
